Description,Value
Total Available Power Capacity (kW),
Average Power Consumption per EV (kW),
Charging Hours per Day (Peak),
Charging Hours per Day (Non-Peak),
Charging Days per Year,
Utility Rate (Peak) ($ per kWh),
Utility Rate (Non-Peak) ($ per kWh),
Hours to charge average per vehicle when needed,
Total # of cars charging per day,
Average Capacity of EVs (kWh),
Capacity of Charging Station (kW),
Rate of charging per hour (kW),
Miles Per Vehicle driven per day,
Max Mileage per vehicle,
Days of Operation per week,
Number of Stations (dual port),
